"File","Status","BeforeMB","AfterMB","SavedPct"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Td\Exos 6.pdf","skip-small","0,85","0,85","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Td\Exos corrigés 3 (suite).pdf","skip-small","0,15","0,15","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Td\Exos corrigés3.pdf","skip-small","0,92","0,92","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Td\Exos-Corrigés-4.pdf","skip-small","0,78","0,78","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Td\Serie 3.pdf","skip-small","0,15","0,15","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Td\SPA 1-2021(Suite).pdf","skip-small","0,13","0,13","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Td\Série1-1-SPA.pdf","skip-small","0,18","0,18","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse convexe\DevoirMaison-M1-AMA-S1.pdf","skip-small","0,14","0,14","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse convexe\Part.1-CoursAnalyseConvexe.pdf","skip-small","0,45","0,45","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse convexe\Part.2-CoursAnalyseConvexe.pdf","skip-small","0,45","0,45","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Chapitre 1 Thm de Hahn-Banach.pdf","skip-small","0,24","0,24","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Chapitre 2 Thm de Baire et de Banach-Steinhaus.pdf","skip-small","0,18","0,18","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Chapitre 4 Topologie faible et topologie  faible étoile.pdf","skip-small","0,27","0,27","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Chpitre 3 Thm de lapplication ouverte et du graphe fermé.pdf","skip-small","0,18","0,18","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Corrigé de EFS1 (analyse fonctionnelle) avec son barème.pdf","skip-small","0,15","0,15","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\EFS 1  analyse fonctionnelle avec son corrigé 2022.2023.pdf","skip-small","0,14","0,14","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\EFS 1 +corrigé  Analyse fonctionnelle 2023.2024.pdf","skip-small","0,12","0,12","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\RFS1 + corrigé (analyse fonctionnelle).pdf","skip-small","0,12","0,12","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Solutions des exercices de la série 1.pdf","skip-small","0,23","0,23","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Suite du Chapitre 4 Topologie faible et faible étoile.pdf","skip-small","0,28","0,28","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Série dexercices N° 1 avec solutions.pdf","skip-small","0,27","0,27","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Série dexercices N° 2 avec solutions.pdf","skip-small","0,26","0,26","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Analyse fonctionnelle\Série N° 1.pdf","skip-small","0,19","0,19","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\Chapitre 1.pdf","skip-small","0,25","0,25","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\Chapitre 2.pdf","skip-small","0,24","0,24","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\Chapitre 3.pdf","skip-small","0,23","0,23","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\EFS 1 +Corrigé Théorie spectrale 2023.2024.pdf","skip-small","0,12","0,12","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\EFS 1 Théorie spectrale des opérateurs avec son corrigé 2022.2023.pdf","skip-small","0,12","0,12","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\Epreuve de TD+ son corrigé.pdf","skip-small","0,19","0,19","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\RFS1 + corrigé  Théorie spectrale 2021.2022.pdf","skip-small","0,2","0,2","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\solutions de la série 1.pdf","skip-small","0,24","0,24","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\Solutions de la série 2.pdf","skip-small","0,23","0,23","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\Série  dexercices N° 1  Théorie spectrale.pdf","skip-small","0,17","0,17","0"
"D:\lectures-library\universite-yahia-fares-medea\M1\Mathematical Analysis and Applications\Théorie spectrale des opérateurs\Série 2 année 21-22.pdf","skip-small","0,19","0,19","0"
